ArrayType,ArraySize,ExecutionTime(ms)
Random_QuickSort,500,0
Random_HybridSort,500,0
Random_QuickSort,1000,0
Random_HybridSort,1000,0
Random_QuickSort,2000,0
Random_HybridSort,2000,0
Random_QuickSort,5000,1
Random_HybridSort,5000,1
Random_QuickSort,10000,3
Random_HybridSort,10000,2
Reverse_QuickSort,500,1
Reverse_HybridSort,500,0
Reverse_QuickSort,1000,5
Reverse_HybridSort,1000,0
Reverse_QuickSort,2000,22
Reverse_HybridSort,2000,1
Reverse_QuickSort,5000,129
Reverse_HybridSort,5000,3
Reverse_QuickSort,10000,523
Reverse_HybridSort,10000,6
NearlySorted_QuickSort,500,0
NearlySorted_HybridSort,500,0
NearlySorted_QuickSort,1000,1
NearlySorted_HybridSort,1000,0
NearlySorted_QuickSort,2000,4
NearlySorted_HybridSort,2000,1
NearlySorted_QuickSort,5000,31
NearlySorted_HybridSort,5000,3
NearlySorted_QuickSort,10000,218
NearlySorted_HybridSort,10000,8
